Country,ISO3,Year,Population_thousands,Pct_Urban,UNICEF_Region,SDG_Region,Income_Group,Hyg_Basic_Rural,Hyg_Limited_Rural,Hyg_NoFacility_Rural,Hyg_Basic_Urban,Hyg_Limited_Urban,Hyg_NoFacility_Urban,Hyg_Basic_Total,Hyg_Limited_Total,Hyg_NoFacility_Total
Angola,AGO,2024,37885.849,69.28099822998047,Eastern and Southern Africa,Sub-Saharan Africa,Lower middle income,19.14381287209176,7.820829919573594,73.03535461425781,44.82462571488605,4.873330580771857,50.30204391479492,36.93573730648314,5.851163522699631,57.84381866455078
Benin,BEN,2024,14462.724,50.669002532958984,West and Central Africa,Sub-Saharan Africa,Lower middle income,9.843651731663613,26.39964414790479,63.7567024230957,15.80199211264824,21.33311291643995,62.86489486694336,12.86268352439956,23.83248346992632,63.304832458496094
Burkina Faso,BFA,2024,23548.781,33.16600036621094,West and Central Africa,Sub-Saharan Africa,Low income,21.10175753465592,34.71684679318469,44.181396484375,35.49379150424716,30.06854517553096,34.43766403198242,25.8750194654032,33.1751906763845,40.949790954589844
Burundi,BDI,2024,14047.786,15.15999984741211,Eastern and Southern Africa,Sub-Saharan Africa,Low income,4.099067497806026,95.90093250219397,0.0,19.39019702415442,80.60980297584558,0.0,6.359707839002242,93.64029002089168,7.924958822513872e-07
Cabo Verde,CPV,2024,524.877,68.41200256347656,West and Central Africa,Sub-Saharan Africa,Lower middle income,37.69789230000001,47.2021077,15.100000381469727,71.57306519999999,25.02693480000001,3.4000000953674316,60.87257577533674,32.03162814017492,7.09579610824585
Cameroon,CMR,2024,29123.744,59.891998291015625,West and Central Africa,Sub-Saharan Africa,Lower middle income,28.66506722464347,51.5083384568286,19.82659339904785,43.91374644589413,35.7765834461764,20.309669494628906,37.79780643338601,42.08627587989682,20.115917205810547
Central African Republic,CAF,2024,5330.69,44.130001068115234,West and Central Africa,Sub-Saharan Africa,Low income,12.12793557219976,16.43097863205429,71.44108581542969,35.43145764851124,16.57384565062785,47.99469757080078,22.41178070956667,16.49402642186163,61.09419250488281
Chad,TCD,2024,20299.123,24.69099998474121,West and Central Africa,Sub-Saharan Africa,Low income,23.70259763177819,31.66006983451189,44.637332916259766,34.08316396241412,30.08471309185347,35.832122802734375,26.26566341161367,31.27109856026873,42.46323776245117
Comoros,COM,2024,866.628,30.417999267578125,Eastern and Southern Africa,Sub-Saharan Africa,Lower middle income,32.19814932872168,36.5606354453671,31.241214752197266,40.68963975904035,25.88940087815377,33.42095947265625,34.78109050235975,33.31465897456438,31.904251098632812
Congo,COG,2019,5616.661,67.37300109863281,West and Central Africa,Sub-Saharan Africa,Lower middle income,31.8136034644621,43.27093310203107,24.915462493896484,56.11440214154981,29.42703165204367,14.458566665649414,48.18578001996172,33.94388046726701,17.87034034729004
Côte d'Ivoire,CIV,2024,31934.23,53.64400100708008,West and Central Africa,Sub-Saharan Africa,Lower middle income,11.14032456874827,50.84593457191443,38.01374053955078,31.41079898899784,39.89101152876697,28.69818878173828,22.01421833935042,44.96927623395801,33.01650619506836
Democratic Republic of the Congo,COD,2022,102396.968,46.836997985839844,West and Central Africa,Sub-Saharan Africa,Low income,12.33362818700227,39.01729139022988,48.64908218383789,27.31930787742462,37.69044354065345,34.99024963378906,19.35247108368763,38.39583594784054,42.25169372558594
Equatorial Guinea,GNQ,2024,1892.516,70.61599731445312,West and Central Africa,Sub-Saharan Africa,Upper middle income,19.8915,24.6085,55.5,26.0226,21.3774,52.599998474121094,24.22103765314116,22.32682648351879,53.4521369934082
Eswatini,SWZ,2024,1242.822,25.01300048828125,Eastern and Southern Africa,Sub-Saharan Africa,Lower middle income,36.27126730040209,35.02950145337672,28.69923210144043,48.45687765088567,37.32723934439534,14.215883255004883,39.3192546303576,35.60423523495969,25.076509475708008
Ethiopia,ETH,2024,132059.767,23.660999298095703,Eastern and Southern Africa,Sub-Saharan Africa,Low income,3.313661559673108,50.87953793381218,45.806800842285156,14.04548425420671,54.45775335177677,31.496763229370117,5.852918084189985,51.72618042349509,42.420902252197266
Gabon,GAB,2024,2538.952,91.30699920654297,West and Central Africa,Sub-Saharan Africa,Upper middle income,31.63626976348243,58.79570463439781,9.568025588989258,49.74550548904921,42.73919734711187,7.515296936035156,48.17127022344336,44.13498937710554,7.693740367889404
Gambia,GMB,2024,2759.988,65.08000183105469,West and Central Africa,Sub-Saharan Africa,Low income,11.93483897897118,80.17472431774931,7.89043664932251,13.5126985038933,77.42551308811916,9.061788558959961,12.96171012106862,78.38553872260069,8.652750968933105
