Country,ISO3,Year,Population_thousands,Pct_Urban,UNICEF_Region,SDG_Region,Income_Group,San_Basic_Rural,San_SafelyManaged_Rural,San_OpenDefecation_Rural,San_Limited_Rural,San_Basic_Urban,San_SafelyManaged_Urban,San_OpenDefecation_Urban,San_Limited_Urban,San_Basic_Total,San_SafelyManaged_Total,San_OpenDefecation_Total,San_Limited_Total
Angola,AGO,2022,35635.029,68.08099365234375,Eastern and Southern Africa,Sub-Saharan Africa,Lower middle income,23.54509043861519,,65.51599362068964,6.039885199410336,62.83659002312279,,7.064441120689594,27.39172991468864,50.29513591587991,,25.72159352869287,20.57643435090228
Benin,BEN,2024,14462.724,50.669002532958984,West and Central Africa,Sub-Saharan Africa,Lower middle income,11.8328140633798,10.74637889439165,65.1462069736101,12.5689629514209,32.3900655821967,21.82069583156366,29.41463976106093,28.92973501148175,22.24896870279098,16.35762504713539,47.04137839277684,20.85880326320732
Botswana,BWA,2024,2521.139,73.48999786376953,Eastern and Southern Africa,Sub-Saharan Africa,Upper middle income,57.80453346289158,,16.6526159727041,13.35784223089905,77.27782750695253,,1.375096311913893,18.60252791352007,72.11545659900098,,5.425166724938483,17.2121615822655
Burkina Faso,BFA,2024,23548.781,33.16600036621094,West and Central Africa,Sub-Saharan Africa,Low income,23.53251420362072,21.41847784989272,42.29141853181227,24.74415143563796,48.44909852167109,31.38347075807203,4.843959810999536,44.20066438590413,31.79634859382032,24.72346729043262,29.87159353365268,31.19709848382874
Burundi,BDI,2024,14047.786,15.15999984741211,Eastern and Southern Africa,Sub-Saharan Africa,Low income,45.10266331448899,,2.277124454714858,7.089109047525502,42.01114686853237,,0.2776112669423014,47.04712734388215,44.6339890793582,,1.973998247435812,13.14674436456625
Cabo Verde,CPV,2024,524.877,68.41200256347656,West and Central Africa,Sub-Saharan Africa,Lower middle income,76.6087313205979,,10.11902319275305,1.14823806002384,86.138039599175,,0.3252864366504582,9.4136419784832,83.12792161570974,,3.418931903957713,6.80276625217016
Cameroon,CMR,2024,29123.744,59.891998291015625,West and Central Africa,Sub-Saharan Africa,Lower middle income,24.88663718689005,,9.715748173935538,9.000083250244142,61.93050091565416,,0.9064697023300461,23.21056491459334,47.07294844148367,,4.439695094427493,17.51102507568725
Central African Republic,CAF,2024,5330.69,44.130001068115234,West and Central Africa,Sub-Saharan Africa,Low income,5.735069063477212,5.706141767159654,38.84615445112541,6.701199926580598,24.54588776622778,23.42592255459912,6.838918973094053,28.99420752443531,14.03628389803247,13.52588154887932,24.72136220588038,16.53910481737412
Chad,TCD,2024,20299.123,24.69099998474121,West and Central Africa,Sub-Saharan Africa,Low income,4.512961008103002,4.223141070349778,77.5894498312731,1.834704778951223,39.45916704206437,32.02122857111797,15.35135319453394,16.9204746203395,13.1415290614475,11.08676711236449,62.22224101584676,5.559532349012859
Comoros,COM,2024,866.628,30.417999267578125,Eastern and Southern Africa,Sub-Saharan Africa,Lower middle income,57.09778178316874,50.78468745442022,2.118673366313203,14.42347535211165,57.50973406710968,46.08612944884047,1.103327437359852,18.70801140774652,57.22308881568216,49.35547955918757,1.809825423838711,15.72674535453775
Congo,COG,2021,5892.183,68.28299713134766,West and Central Africa,Sub-Saharan Africa,Lower middle income,6.256849688581859,,23.01214454823889,8.87490393138767,27.19611854495393,,1.544696784073494,46.25291215268103,20.55480995949171,,8.353527808018995,34.39772807366909
Côte d'Ivoire,CIV,2024,31934.23,53.64400100708008,West and Central Africa,Sub-Saharan Africa,Lower middle income,24.30553057227561,21.20379803857701,30.99730140074189,22.21090499252334,54.32107268490052,32.20028518610863,4.333965984793821,33.82280787151955,40.40706879761277,27.10275408291272,16.69402179865216,28.43999467601254
Democratic Republic of the Congo,COD,2024,109276.265,48.05500030517578,West and Central Africa,Sub-Saharan Africa,Low income,11.22007974627126,11.17079856191531,18.84649006419272,9.297826066548632,21.79802716304995,15.15264299341909,3.900379228815126,26.96439326044104,16.30331223689324,13.08427389031641,11.66413689925138,17.7874946429033
Equatorial Guinea,GNQ,2017,1562.396,71.64599609375,West and Central Africa,Sub-Saharan Africa,Upper middle income,57.25153395443438,,3.632660000000214,6.194936045565488,69.89879365392257,,2.545943636363631,11.33767543698672,66.31278666715615,,2.854071093975552,9.87950261176612
Eritrea,ERI,2016,3124.698,38.82699966430664,Eastern and Southern Africa,Sub-Saharan Africa,Low income,5.559225960000017,,88.65000000000009,2.040774040000006,21.99299712750009,,32.90000000000009,21.93200287250009,11.93996601408661,,67.00394837289898,9.763941126304205
Eswatini,SWZ,2024,1242.822,25.01300048828125,Eastern and Southern Africa,Sub-Saharan Africa,Lower middle income,70.10241568571996,67.49966507556636,0.0,17.50715151671967,47.54648757406828,40.85817416468745,1.435997361137122,46.04907374996469,64.46050262495538,60.83583015153984,0.3591860182885984,24.64634279471559
Ethiopia,ETH,2024,132059.767,23.660999298095703,Eastern and Southern Africa,Sub-Saharan Africa,Low income,6.110198002992527,4.676139586097125,20.43774076864338,2.491540880275601,24.06176764979974,18.93966952478942,2.6615349994197,27.93838621138847,10.35771883567336,8.051033352639163,16.23171329014971,8.512518748702806
Gabon,GAB,2024,2538.952,91.30699920654297,West and Central Africa,Sub-Saharan Africa,Upper middle income,24.5999792105723,,2.623244617127057,5.518949818623484,60.52441260933212,,1.216716635343438,19.8844161349218,57.40150262938339,,1.338986088735473,18.63562653519396
Gambia,GMB,2024,2759.988,65.08000183105469,West and Central Africa,Sub-Saharan Africa,Low income,24.0495081422525,22.61332474426857,0.0,7.945891746911718,61.11409893200777,31.02767683358121,0.0743393559316416,13.80156506326296,48.17114421755375,28.08938540301703,0.0483800529726289,11.75676405845198
Ghana,GHA,2024,34427.414,59.854000091552734,West and Central Africa,Sub-Saharan Africa,Lower middle income,23.4339880231879,20.44053586242513,30.75541852751729,31.36308748785144,37.04201969986892,17.6387093587591,9.10194058357753,48.38945153973268,31.57894047319823,18.76353114851604,17.79494603047798,41.55404895332531
Guinea,GIN,2024,14754.785,38.51700210571289,West and Central Africa,Sub-Saharan Africa,Lower middle income,22.77247556036637,,7.153884810623367,18.04017039692544,48.41611671644488,,0.670691337845966,49.16865560393935,32.64963714814146,,4.656753235605979,30.0299293353379
Guinea-Bissau,GNB,2024,2201.352,45.89299774169922,West and Central Africa,Sub-Saharan Africa,Low income,17.15899031926307,15.98968207320549,14.15514856039272,8.079149030514094,42.83308231881952,30.40290492736752,0.1684778157313076,30.6364136566684,28.94160064036644,22.60434200371211,7.73624603844603,18.4313538851714
Kenya,KEN,2024,56432.944,30.048999786376953,Eastern and Southern Africa,Sub-Saharan Africa,Lower middle income,41.39384132967975,39.25070264944809,8.132505703246125,18.04935188872091,39.70035124068655,27.85685325816916,0.7504109450525789,49.68908955319333,40.88496546115432,35.82696579635953,5.9142602628714,27.55677697484778
Lesotho,LSO,2024,2337.423,30.897001266479492,Eastern and Southern Africa,Sub-Saharan Africa,Lower middle income,49.16526519865954,47.82424425979697,19.70226555593808,10.30663090100245,45.04215788110901,34.65374278491016,3.711233975365587,39.50973588722514,47.89134814227171,43.75495377140562,14.76151617484654,19.3295143722819
Liberia,LBR,2024,5612.817,54.07699966430664,West and Central Africa,Sub-Saharan Africa,Low income,10.05977381562256,,57.51663472709811,15.36715248515607,34.60888421147413,,13.88811402037663,36.95735472417434,23.33519549040676,,33.92363950777262,27.04248536433372
