Country,ISO3,Year,Population_thousands,Pct_Urban,UNICEF_Region,SDG_Region,Income_Group,Water_Basic_Rural,Water_SafelyManaged_Rural,Water_Unimproved_Rural,Water_SurfaceWater_Rural,Water_Basic_Urban,Water_SafelyManaged_Urban,Water_Unimproved_Urban,Water_SurfaceWater_Urban,Water_Basic_Total,Water_SafelyManaged_Total,Water_Unimproved_Total,Water_SurfaceWater_Total
Angola,AGO,2024,37885.849,69.28099822998047,Eastern and Southern Africa,Sub-Saharan Africa,Lower middle income,36.9135660198738,,25.21247739549017,24.65290714524235,81.72697127528868,,7.383727627094004,0.648113343071941,67.9607422242112,,12.86053993996913,8.022146178637326
Benin,BEN,2024,14462.724,50.669002532958984,West and Central Africa,Sub-Saharan Africa,Lower middle income,63.10559951979569,6.66055749967689,23.1178235330508,4.332141832360662,75.89693003845674,28.44167389833475,17.78425606750608,0.8440131702832332,69.58683978670673,17.69683223748673,20.41535739088684,2.564741826486158
Botswana,BWA,2024,2521.139,73.48999786376953,Eastern and Southern Africa,Sub-Saharan Africa,Upper middle income,77.88725613138756,,5.953969564819261,1.225555131725798,96.77977046683132,68.87946435101001,2.669292534583773,0.1180971019876176,91.77136408072464,63.2910412393649,3.540061293418447,0.4116842219478934
Burkina Faso,BFA,2024,23548.781,33.16600036621094,West and Central Africa,Sub-Saharan Africa,Low income,34.37112734072426,,24.8879548929192,0.0,81.49026290367935,,4.634872942033332,0.2161567758679378,49.99866001074966,,18.17081827089647,0.0716905586560923
Burundi,BDI,2024,14047.786,15.15999984741211,Eastern and Southern Africa,Sub-Saharan Africa,Low income,61.39872248687098,,15.98193896912562,4.166000218580166,91.21654790962863,,0.7004791765060645,0.0,65.91910418475531,,13.66527040708527,3.550098700769141
Cabo Verde,CPV,2024,524.877,68.41200256347656,West and Central Africa,Sub-Saharan Africa,Lower middle income,86.21243877278084,,6.204274846485646,0.0,95.08171697426474,,0.0,0.0,92.28008926619124,,1.95980648540241,0.0
Cameroon,CMR,2024,29123.744,59.891998291015625,West and Central Africa,Sub-Saharan Africa,Lower middle income,56.24962765001261,,17.15365990309999,8.780455461538281,81.56277565837904,,4.104705432715328,1.390696355606558,71.41017871128295,,9.338379596562792,4.354580926349722
Central African Republic,CAF,2024,5330.69,44.130001068115234,West and Central Africa,Sub-Saharan Africa,Low income,27.37296899650892,2.23955300787422,46.90716575803651,5.92770565389344,48.06423683900658,11.25368045006168,16.21677232433791,0.0568490387443603,36.50402682372067,6.217487689667309,33.36349273070863,3.336896729401704
Chad,TCD,2024,20299.123,24.69099998474121,West and Central Africa,Sub-Saharan Africa,Low income,43.79919624145936,2.653780937439152,34.71351089465759,9.215416074203524,77.85960653904016,17.58653132179517,8.040978147223733,0.70447147362328,52.2090525523694,6.340826473894255,28.12779544579964,7.113978688393454
Comoros,COM,2024,866.628,30.417999267578125,Eastern and Southern Africa,Sub-Saharan Africa,Lower middle income,82.92174545196846,,4.952920672151834,0.5027621839236076,89.93135597305537,,0.2114083019951494,0.3303127818583818,85.05392785893021,,3.510648479652789,0.4503065202492969
Congo,COG,2021,5892.183,68.28299713134766,West and Central Africa,Sub-Saharan Africa,Lower middle income,44.19871751875425,18.42222167916225,26.28563848244829,19.23802698630135,87.09329616158801,58.62640375375068,2.517789996643527,0.0089494520547946,73.48842116734137,45.87484199708015,10.05623946302354,6.107836529760021
Côte d'Ivoire,CIV,2024,31934.23,53.64400100708008,West and Central Africa,Sub-Saharan Africa,Lower middle income,63.94974505344317,19.08362674191547,20.68040322214847,4.671095773453658,88.7378164354012,51.45502082208851,6.048175777497988,1.468364215329629,77.24705938223607,36.44893815599531,12.83108974433053,2.953022476144347
Democratic Republic of the Congo,COD,2024,109276.265,48.05500030517578,West and Central Africa,Sub-Saharan Africa,Low income,13.82322112273854,0.5133668999504856,53.72642259611416,14.11828452735881,59.30889560734002,24.1514518785165,9.459925736428943,0.8531284131075267,35.68136119522541,11.87264818193869,32.45415812209152,7.74371409408545
Equatorial Guinea,GNQ,2017,1562.396,71.64599609375,West and Central Africa,Sub-Saharan Africa,Upper middle income,30.77536931728879,,46.28605636363613,21.58499454545472,78.07800598033093,,18.02439454545447,0.3046490909091517,64.66581288791777,,26.03770969267641,6.338478339836077
Eritrea,ERI,2016,3124.698,38.82699966430664,Eastern and Southern Africa,Sub-Saharan Africa,Low income,27.80157646999997,,20.07500000000005,27.625,89.73822452624998,,3.012500000000024,0.5249999999999986,51.84971776209623,,13.45014345907095,17.10288343398318
